CarubvID	ProteinName	LocusID	ProteinLength	Pacid
10014070	XP_006298024.1	17890645	353	20898529
10014070	XP_023642544.1	17890645	325	20898529
10013921	XP_023641078.1	17890665	386	20897538
10016078	XP_006296787.1	17890671	1042	20900873
10014550	XP_006298476.1	17890673	228	20897789
10014064	XP_006298020.1	17890678	354	20898896
10012946	XP_006296955.1	17890686	886	20900440
10014197	XP_006298147.1	17890687	322	20899248
10013929	XP_023642285.1	17890691	353	20899471
10013929	XP_023642286.1	17890691	352	20899471
10015827	XP_006299640.1	17890694	162	20897980
10013177	XP_006297173.1	17890695	650	20897352
10013594	XP_006297571.1	17890697	479	20900978
10013139	XP_023641668.1	17890698	669	20900261
10013139	XP_023641669.1	17890698	669	20900261
10013108	XP_023642414.1	17890707	690	20898332
10013108	XP_023642414.1	17890707	690	20898333
10013508	XP_006297490.2	17890709	475	20897421
10015647	XP_006299482.1	17890711	1054	20899671
10015647	XP_023642417.1	17890711	1054	20899671
10015647	XP_023642418.1	17890711	1054	20899671
10015647	XP_023642419.1	17890711	851	20899671
10015224	XP_006299086.1	17890713	891	20898683
10013292	XP_006297276.1	17890716	592	20898387
10013292	XP_023642384.1	17890716	592	20898387
10014402	XP_006296726.1	17890717	267	20899370
10013610	XP_006297588.1	17890719	474	20900477
10013933	XP_006297892.1	17890721	383	20897720
10016450	XP_006300214.1	17890722	555	20898808
10015984	XP_023642680.1	17890736	311	20898962
10015482	XP_006299325.2	17890738	154	20898437
10014649	XP_006298567.1	17890740	206	20899047
10015978	XP_006299782.1	17890744	442	20897417
10013289	XP_006297274.2	17890745	560	20900282
10013247	XP_023642228.1	17890746	628	20897812
10014252	XP_006298201.1	17890749	305	20897660
10016240	XP_006300017.1	17890753	565	20897539
10012884	XP_006296891.1	17890754	1015	20900558
10015574	XP_006299414.1	17890760	536	20901018
10014331	XP_006298267.1	17890762	283	20898098
10016475	XP_023642709.1	17890766	1704	20900094
10014147	XP_023642780.1	17890768	345	20899707
10013562	XP_006297541.1	17890770	485	20898923
10013597	XP_006297574.1	17890771	478	20900325
10014465	XP_006298394.1	17890773	252	20898773
10014465	XP_023641446.1	17890773	227	20898773
10012948	XP_006296957.1	17890780	884	20897527
10012898	XP_006296906.1	17890788	982	20899284
10012898	XP_023641477.1	17890788	982	20899284
10012898	XP_023641478.1	17890788	958	20899284
10014746	XP_023642278.1	17890800	164	20897474
10014243	XP_023642029.1	17890803	364	20897533
10015678	XP_006299508.1	17890822	197	20899938
10014105	XP_006298061.1	17890823	342	20900674
10013380	XP_006297360.1	17890825	551	20898588
10016335	XP_006300107.1	17890829	149	20900013
10015267	XP_023641992.1	17890830	738	20901020
10013771	XP_023642166.1	17890834	347	20899544
10014277	XP_023642255.1	17890835	299	20900122
10014775	XP_006298682.1	17890841	172	20898734
10016008	XP_006299808.1	17890842	196	20900011
10014620	XP_006296737.1	17890844	211	20897466
10015176	XP_006299039.1	17890845	685	20900962
10014789	XP_023642179.1	17890851	95	20897671
10016396	XP_023641945.1	17890852	586	20899229
10014046	XP_006298001.1	17890857	359	20898208
10015147	XP_023642637.1	17890860	919	20899903
10015147	XP_023642638.1	17890860	680	20899903
10013013	XP_023642716.1	17890861	745	20898640
10015095	XP_006298969.2	17890865	511	20900214
10015468	XP_006299313.1	17890870	506	20900381
10014103	XP_006298059.1	17890872	343	20900976
10012945	XP_006296595.1	17890877	886	20900201
10014499	XP_006298430.1	17890888	243	20899165
10016184	XP_006299971.1	17890890	576	20898439
10014185	XP_006298138.1	17890892	323	20900565
10015807	XP_023641230.1	17890894	284	20901036
10015419	XP_006299265.2	17890895	129	20901004
10012791	XP_006296808.1	17890903	3855	20899621
10013066	XP_006297065.1	17890904	725	20897407
10014654	XP_006298570.1	17890905	205	20900488
10016180	XP_006299967.1	17890909	922	20899164
10014435	XP_006298364.1	17890913	259	20900750
10012977	XP_006296983.2	17890916	823	20897398
10015933	XP_006299740.1	17890921	568	20899975
10015946	XP_023641064.1	17890922	412	20900138
10015462	XP_006299307.1	17890923	216	20897874
10015226	XP_006299088.1	17890924	511	20899859
10015568	XP_006299408.1	17890925	229	20898894
10013797	XP_023642367.1	17890927	329	20900572
10013383	XP_023641479.1	17890932	587	20897880
10013383	XP_023641480.1	17890932	587	20897880
10014156	XP_006298114.1	17890935	330	20898073
10014189	XP_006296716.1	17890938	323	20898029
10013233	XP_006297226.1	17890957	621	20900030
10013233	XP_023641692.1	17890957	492	20900030
10015906	XP_006299714.1	17890970	97	20900009
10015534	XP_006299375.1	17890972	277	20898914
10014004	XP_006297963.1	17890974	366	20900988
10013094	XP_006297091.1	17890975	701	20900400
10013614	XP_023641974.1	17890982	471	20900665
10013614	XP_023641974.1	17890982	471	20900666
10013712	XP_006297680.1	17890984	443	20899763
10012935	XP_023641630.1	17890985	1032	20899964
10012935	XP_023641631.1	17890985	1032	20899964
10012935	XP_023641632.1	17890985	1032	20899964
10013423	XP_006297400.1	17890988	535	20901054
10014650	XP_006298568.1	17890989	205	20899770
10015794	XP_006299616.1	17890991	526	20899565
10014141	XP_006298099.1	17890993	334	20899482
10013100	XP_006297094.1	17890999	694	20899172
10015214	XP_006299074.1	17891002	350	20898335
10013635	XP_006297614.1	17891007	466	20899417
10013635	XP_006297614.1	17891007	466	20899418
10013986	XP_006297943.1	17891010	365	20897882
10013986	XP_006297943.1	17891010	365	20897883
10013986	XP_006297944.1	17891010	369	20897882
10013986	XP_006297944.1	17891010	369	20897883
10015186	XP_006299048.1	17891012	357	20899838
10015982	XP_006299786.1	17891015	1020	20898095
10015982	XP_023642572.1	17891015	884	20898095
10015982	XP_023642573.1	17891015	819	20898095
10014172	XP_006298128.1	17891022	326	20899680
10014172	XP_006298129.1	17891022	326	20899680
10014172	XP_023641840.1	17891022	284	20899680
10014836	XP_006298736.1	17891023	152	20898520
10015589	XP_023642814.1	17891041	712	20899333
10012823	XP_006296838.1	17891049	1303	20900187
10014586	XP_006298510.1	17891051	220	20900376
10016473	XP_006296803.1	17891058	223	20899527
10012924	XP_006296930.1	17891059	922	20898307
10014731	XP_006298642.2	17891063	264	20899574
10014127	XP_006298064.1	17891064	336	20900061
10014127	XP_023642188.1	17891064	270	20900061
10015773	XP_006299595.2	17891065	276	20898754
10014645	XP_006298562.1	17891076	206	20900134
10015011	XP_006298891.1	17891081	87	20898219
10014795	XP_006298700.1	17891082	165	20900163
10015258	XP_006299117.1	17891085	384	20899542
10015258	XP_023641792.1	17891085	384	20899542
10015258	XP_023641793.1	17891085	384	20899542
10014976	XP_006298850.1	17891087	106	20897385
10013360	XP_006297340.1	17891091	563	20897818
10012936	XP_006296944.1	17891099	899	20898855
10013557	XP_006297535.1	17891102	486	20899692
10014313	XP_006298252.2	17891104	272	20899553
10014964	XP_006296741.1	17891106	113	20898212
10016030	XP_006299828.2	17891109	464	20897700
10012916	XP_006296923.1	17891110	937	20898648
10013330	XP_006297313.1	17891129	574	20897710
10014596	XP_006298518.1	17891130	218	20898293
10015421	XP_023641947.1	17891131	286	20897360
10014074	XP_006298028.1	17891136	353	20898164
10015307	XP_006299164.1	17891137	355	20897917
10016000	XP_023641978.1	17891138	370	20899782
10013849	XP_006297815.1	17891139	406	20898564
10013366	XP_023641513.1	17891141	531	20900159
10013366	XP_023641514.1	17891141	535	20900159
10015406	XP_006299256.1	17891147	143	20897480
10012919	XP_006296926.1	17891148	933	20898947
10013341	XP_006297321.2	17891157	519	20897580
10013341	XP_023642401.1	17891157	507	20897580
10012801	XP_006296819.1	17891158	1775	20899408
10013189	XP_006297185.1	17891159	641	20899439
10013113	XP_006297110.1	17891161	689	20897380
10012867	XP_006296870.1	17891162	1088	20897711
10015765	XP_006299587.1	17891163	740	20898787
10015252	XP_006299113.2	17891165	390	20900326
10014312	XP_006298250.2	17891166	257	20900810
10015504	XP_006299347.1	17891167	247	20897674
10014602	XP_023641550.1	17891168	217	20899892
10016467	XP_023642263.1	17891182	359	20900050
10016279	XP_023642000.1	17891183	642	20899245
10016279	XP_023642001.1	17891183	642	20899245
10013935	XP_006297895.1	17891194	383	20899956
10013935	XP_023641575.1	17891194	383	20899956
10014492	XP_023642109.1	17891197	245	20898555
10015195	XP_006299055.1	17891199	842	20898752
10013913	XP_006297872.1	17891201	387	20900479
10013913	XP_006297873.1	17891201	387	20900479
10015434	XP_006299280.1	17891206	330	20900870
10014569	XP_006298493.1	17891210	224	20899566
10016189	XP_006299976.2	17891212	323	20897736
10016189	XP_023641534.1	17891212	323	20897736
10013454	XP_006297431.1	17891215	523	20899170
10015593	XP_006299433.1	17891218	335	20899208
10014146	XP_006298105.2	17891220	299	20899430
10013525	XP_006297503.1	17891225	497	20900931
10013525	XP_023641149.1	17891225	497	20900931
10016069	XP_023642765.1	17891227	1014	20898548
10012995	XP_006297004.1	17891229	782	20900888
10012995	XP_006297004.1	17891229	782	20900889
10016243	XP_006296668.1	17891230	212	20899841
10012967	XP_006296973.1	17891235	844	20899543
10012967	XP_023642744.1	17891235	661	20899543
10012967	XP_023642745.1	17891235	595	20899543
10013418	XP_006297394.1	17891264	536	20897557
10016141	XP_006296789.1	17891265	389	20897679
10015306	XP_023642104.1	17891274	545	20898250
10012826	XP_006296839.2	17891275	1278	20898658
10013044	XP_006297047.2	17891276	723	20900250
10015911	XP_006299719.1	17891277	861	20899570
10015911	XP_023641132.1	17891277	761	20899570
10014803	XP_006298709.1	17891278	161	20899319
10015494	XP_006299338.1	17891285	227	20899803
10015394	XP_006299245.2	17891286	470	20898755
10015394	XP_023642353.1	17891286	470	20898755
10013723	XP_023641633.1	17891287	440	20900026
10014625	XP_006298543.1	17891289	210	20897535
10014625	XP_023642275.1	17891289	201	20897535
10015281	XP_006299139.1	17891292	323	20898970
10013954	XP_006297912.1	17891293	379	20899297
10013687	XP_006297663.2	17891294	424	20900848
10013687	XP_023642691.1	17891294	400	20900848
10012827	XP_006296840.1	17891297	1273	20899513
10012827	XP_023641305.1	17891297	1267	20899513
10013075	XP_006297073.1	17891298	714	20897515
10016140	XP_006299931.2	17891300	336	20897811
10013224	XP_023642083.1	17891301	654	20898199
10014134	XP_006298091.1	17891306	335	20898980
10013298	XP_006297283.2	17891341	563	20898480
10016221	XP_006296792.1	17891343	467	20898430
10013675	XP_023642717.1	17891345	663	20898783
10012889	XP_023642683.1	17891354	999	20899033
10016040	XP_006299837.1	17891358	317	20898988
10015145	XP_006299017.1	17891359	92	20897410
10015755	XP_006299581.1	17891363	700	20898270
10013019	XP_006297027.1	17891364	781	20898626
10014031	XP_006297989.1	17891366	362	20900229
10013173	XP_023641155.1	17891367	802	20897482
10013173	XP_023641156.1	17891367	770	20897482
10015774	XP_023642266.1	17891371	903	20898685
10013892	XP_006297851.1	17891374	394	20898455
10014504	XP_006298433.2	17891375	233	20897372
10016138	XP_006299929.1	17891378	322	20898521
10015084	XP_006298959.1	17891379	476	20901053
10015337	XP_006299192.2	17891383	660	20900912
10015337	XP_023642733.1	17891383	661	20900912
10015337	XP_023642734.1	17891383	641	20900912
10015292	XP_006299149.1	17891385	171	20899380
10013959	XP_006297918.2	17891387	601	20897718
10013959	XP_023642474.1	17891387	601	20897718
10016199	XP_023642684.1	17891398	614	20899791
10016199	XP_023642685.1	17891398	590	20899791
10014111	XP_006298067.1	17891403	341	20899747
10013297	XP_006297279.1	17891418	590	20898724
10013104	XP_006297101.1	17891423	691	20898533
10013273	XP_006297260.1	17891424	600	20900109
10013513	XP_006297494.1	17891428	500	20898337
10013448	XP_006297423.1	17891437	525	20898388
10015967	XP_006299772.1	17891445	807	20900356
10015967	XP_023641567.1	17891445	808	20900356
10015967	XP_023641568.1	17891445	777	20900356
10015967	XP_023641569.1	17891445	709	20900356
10015450	XP_006299296.1	17891447	517	20900240
10014030	XP_006297988.1	17891448	362	20900007
10014444	XP_023642346.1	17891454	258	20900415
10016478	XP_006300238.1	17891458	427	20897345
10015518	XP_006299353.1	17891468	425	20899426
10015197	XP_006299057.2	17891470	413	20900386
10015197	XP_023641166.1	17891470	413	20900386
10015197	XP_023641167.1	17891470	413	20900386
10015197	XP_023641168.1	17891470	413	20900386
10015197	XP_023641169.1	17891470	382	20900386
10014083	XP_006298038.2	17891473	438	20900753
10014083	XP_023642058.1	17891473	439	20900753
10014125	XP_006298082.1	17891475	337	20898845
10016125	XP_006299916.1	17891477	534	20898139
10012927	XP_006296934.1	17891481	917	20897684
10012927	XP_006296934.1	17891481	917	20897685
10012927	XP_023642545.1	17891481	917	20897684
10012927	XP_023642545.1	17891481	917	20897685
10013721	XP_006297691.1	17891482	440	20898053
10015066	XP_006298942.2	17891489	398	20900725
10012926	XP_023641515.1	17891493	914	20897689
10014335	XP_023641544.1	17891496	282	20898843
10015683	XP_006299513.1	17891519	694	20899060
10015929	XP_023641200.1	17891524	423	20897376
10013745	XP_006297716.1	17891526	434	20898361
10015079	XP_006298954.1	17891529	576	20899024
10014809	XP_006298714.1	17891530	160	20899409
10016323	XP_006300095.1	17891532	846	20898723
10013064	XP_006297063.1	17891534	728	20900465
10012811	XP_006296826.1	17891542	1513	20897893
10014398	XP_006298333.1	17891544	267	20899585
10014646	XP_006298563.1	17891547	205	20899422
10014646	XP_006298564.1	17891547	206	20899422
10014948	XP_006298836.1	17891548	119	20900794
10015994	XP_006299798.1	17891550	303	20898863
10014222	XP_006298172.2	17891563	275	20900536
10014668	XP_006298584.1	17891564	202	20900607
10013470	XP_006297449.1	17891568	515	20898768
10013660	XP_006297642.1	17891569	458	20898557
10013857	XP_006297824.1	17891581	404	20897994
10014545	XP_023641584.1	17891582	231	20898479
10014219	XP_006298169.1	17891584	314	20899175
10014219	XP_023642119.1	17891584	347	20899175
10014622	XP_006298540.1	17891585	210	20897603
10016122	XP_023642731.1	17891596	1056	20897505
10013304	XP_006297289.1	17891598	587	20899202
10014512	XP_006298440.1	17891613	239	20898609
10016457	XP_006300221.1	17891615	476	20898936
10014771	XP_006298678.1	17891618	174	20901013
10012810	XP_006296825.1	17891625	1513	20899490
10013221	XP_006297212.2	17891627	572	20898780
10015167	XP_023642507.1	17891629	270	20897702
10013808	XP_006297773.1	17891632	417	20898631
10015692	XP_023642576.1	17891635	526	20901023
10014800	XP_006296630.2	17891637	164	20898055
10013999	XP_006297958.1	17891643	367	20900278
10013090	XP_006297087.1	17891644	703	20898330
10013235	XP_023641516.1	17891649	620	20900661
10013235	XP_023641516.1	17891649	620	20900662
10013235	XP_023641517.1	17891649	620	20900661
10013235	XP_023641517.1	17891649	620	20900662
10013235	XP_023641518.1	17891649	620	20900661
10013235	XP_023641518.1	17891649	620	20900662
10013293	XP_023641788.1	17891655	592	20898206
10012846	XP_006296859.1	17891659	1155	20900686
10013072	XP_006297071.1	17891661	720	20900113
10013899	XP_006297859.1	17891666	393	20900592
10012907	XP_006296915.1	17891671	954	20897576
10013211	XP_006297203.2	17891676	591	20900973
10013498	XP_006297478.1	17891700	504	20897650
10013498	XP_023642429.1	17891700	535	20897650
10015551	XP_023641218.1	17891703	313	20898560
10015888	XP_023641353.1	17891711	524	20898690
10013182	XP_006297178.2	17891719	880	20900105
10012804	XP_006296820.1	17891720	1680	20898813
10012804	XP_006296821.1	17891720	1697	20898813
10013342	XP_006297322.1	17891723	568	20898751
10014725	XP_006298635.1	17891727	188	20899741
10014167	XP_006298123.1	17891728	328	20900623
10014167	XP_023642020.1	17891728	328	20900623
10014756	XP_006298665.1	17891732	178	20900342
10014761	XP_006296625.1	17891733	176	20898168
10014956	XP_006298843.1	17891736	115	20897510
10014956	XP_023642115.1	17891736	149	20897510
10014956	XP_023642116.1	17891736	85	20897510
10013178	XP_006297174.1	17891740	649	20897374
10013238	XP_006297234.2	17891743	601	20899485
10013181	XP_006297177.1	17891744	646	20899141
10013156	XP_006297152.1	17891745	661	20897541
10013156	XP_023641849.1	17891745	661	20897541
10013156	XP_023641850.1	17891745	661	20897541
10015503	XP_023641388.1	17891748	507	20898176
10014941	XP_006296743.1	17891750	120	20899798
10015818	XP_006296773.1	17891751	491	20897805
10015238	XP_006299083.1	17891752	1028	20899752
10015238	XP_023642202.1	17891752	1028	20899752
10015238	XP_023642203.1	17891752	843	20899752
10012865	XP_006296876.1	17891753	1092	20898599
10012865	XP_023642626.1	17891753	939	20898599
10013197	XP_006297192.1	17891776	635	20898545
10013475	XP_006297455.1	17891778	514	20897575
10013475	XP_023642324.1	17891778	520	20897575
10014840	XP_006298740.2	17891779	119	20899269
10013364	XP_006297345.1	17891784	561	20898581
10016458	XP_006300222.1	17891786	116	20898441
10013161	XP_006297157.1	17891789	660	20900821
10013436	XP_006297412.1	17891791	532	20898992
10013436	XP_023641183.1	17891791	525	20898992
10013436	XP_023641184.1	17891791	483	20898992
10013436	XP_023641185.1	17891791	483	20898992
10015889	XP_006299698.1	17891793	581	20900182
10014123	XP_006298079.1	17891794	338	20897494
10015772	XP_006299594.2	17891795	1464	20897756
10015772	XP_023641187.1	17891795	1464	20897756
10015772	XP_023641188.1	17891795	1048	20897756
10016416	XP_006300181.1	17891800	1317	20898496
10015833	XP_006299646.1	17891801	596	20898251
10012989	XP_006296995.1	17891804	820	20900197
10013720	XP_006297690.1	17891805	440	20898189
10013006	XP_006297015.1	17891809	799	20900433
10014065	XP_006298022.1	17891810	354	20900713
10016145	XP_023641806.1	17891813	622	20899575
10016145	XP_023641807.1	17891813	621	20899575
10014091	XP_006298046.1	17891817	347	20898926
10013983	XP_006297940.1	17891825	370	20898405
10014527	XP_006298456.1	17891832	235	20899385
10014274	XP_006298216.1	17891855	300	20899299
10014509	XP_006298438.1	17891862	240	20900717
10014289	XP_006298229.1	17891863	294	20900299
10014289	XP_006298229.1	17891863	294	20900300
10014289	XP_023641434.1	17891863	299	20900299
10014289	XP_023641434.1	17891863	299	20900300
10014289	XP_023641435.1	17891863	298	20900299
10014289	XP_023641435.1	17891863	298	20900300
10014289	XP_023641436.1	17891863	294	20900299
10014289	XP_023641436.1	17891863	294	20900300
10014334	XP_006298270.1	17891866	283	20899302
10014390	XP_006298326.1	17891873	269	20898673
10014390	XP_023641811.1	17891873	269	20898673
10014390	XP_023641812.1	17891873	269	20898673
10013226	XP_006297218.2	17891875	592	20899332
10013453	XP_006297430.1	17891876	523	20899178
10013453	XP_006297430.1	17891876	523	20899179
10013453	XP_023641285.1	17891876	526	20899178
10013453	XP_023641285.1	17891876	526	20899179
10012871	XP_006296882.1	17891878	1078	20898108
10012901	XP_023641401.1	17891879	1992	20898143
10013160	XP_006297156.1	17891884	660	20897488
10016242	XP_006300018.1	17891885	607	20900168
10013596	XP_006297573.1	17891888	478	20900584
10016024	XP_006296663.1	17891893	208	20899737
10016041	XP_006299838.1	17891900	550	20898522
10013731	XP_006297702.1	17891904	438	20898435
10016118	XP_006299909.2	17891905	526	20900902
10016096	XP_006299889.1	17891910	288	20899959
10014883	XP_006296634.1	17891912	138	20897467
10015263	XP_006299123.1	17891913	91	20898301
10013927	XP_006297885.1	17891918	385	20900602
10013578	XP_006297555.2	17891931	466	20899678
10013252	XP_006297247.1	17891932	609	20899103
10014047	XP_006298002.1	17891938	359	20901001
10014520	XP_023641578.1	17891940	236	20899537
10014186	XP_006298124.1	17891942	323	20898136
10015738	XP_006299563.1	17891946	456	20899086
10012870	XP_006296881.1	17891947	1080	20897916
10016433	XP_006300197.2	17891948	682	20900333
10013649	XP_006297628.1	17891952	462	20899046
10013546	XP_006297523.1	17891955	489	20899407
10013174	XP_006297169.1	17891958	652	20900428
10016239	XP_006300016.1	17891965	291	20900696
10016385	XP_006300154.1	17891974	293	20899382
10015285	XP_006299142.2	17891975	251	20900643
10016192	XP_006299979.1	17891978	298	20897475
10013282	XP_006297268.1	17891981	597	20899392
10013833	XP_023642283.1	17891982	410	20899186
10013281	XP_006297267.1	17891984	598	20900117
10014414	XP_023641726.1	17891989	283	20899921
10015323	XP_006299179.1	17891993	657	20899253
10016050	XP_023641530.1	17892013	460	20898311
10013455	XP_006297432.1	17892016	523	20900719
10013023	XP_006297032.1	17892020	774	20898101
10013023	XP_023642053.1	17892020	738	20898101
